"OBJECTID,N,10,0","NAME,C,80","STATUS,C,50","WATERSHED,C,50","COUNCIL_DI,C,5","PRIMARY_FE,C,50","SW_TREE_TR,C,50","SW_PLANTER,C,50","SW_BUMPOUT,C,50","RAIN_GARDE,C,50","SW_BASIN,C,50","INFILTRATI,C,50","POROUS_PAV,C,50","SWALE,C,50","SW_WETLAND,C,50","CISTERN_RA,C,50","GREEN_ROOF,C,50","OTHER,C,50","LINK,C,254","LONGITUDE,N,19,8","LATITUDE,N,19,8","LINK_1,C,100","LINK_2,C,100"
886,Warrington - 54th to 55th,In Design,Darby Cobbs Watershed,3,Stormwater Bumpout,$,$,Stormwater Bumpout,$,$,$,$,$,$,$,$,$,http://www.phillywatersheds.org/what_were_doing/green_infrastructure/tools/stormwater_bumpout,-75.22688700,39.94091900,http://www.phillywatersheds.org/what_were_doing/,green_infrastructure/tools/stormwater_bumpout
887,Waterview Recreation Center,Constructed,Tookany-Tacony/Frankford Creek Watershed,8,Stormwater Planter,Stormwater Tree Trench,Stormwater Planter,$,$,$,$,Porous Paving,$,$,$,$,$,http://www.phillywatersheds.org/what_were_doing/green_infrastructure/projects/waterview_recreation,-75.16834496,40.04532863,http://www.phillywatersheds.org/what_were_doing/,green_infrastructure/projects/waterview_recreation
888,Wayne Ave and Abbottsford Ave,In Design,Tookany-Tacony/Frankford Creek Watershed,8,Stormwater Tree Trench,Stormwater Tree Trench,$,$,$,$,$,$,$,$,$,$,$,http://www.phillywatersheds.org/what_were_doing/green_infrastructure/tools/stormwater_tree_trench,-75.16467002,40.02410836,http://www.phillywatersheds.org/what_were_doing/,green_infrastructure/tools/stormwater_tree_trench
889,Welsh School,In Design,Delaware River Watershed,7,Rain Garden,Stormwater Tree Trench,$,$,Rain Garden,$,$,$,$,$,$,$,$,http://www.phillywatersheds.org/what_were_doing/green_infrastructure/tools/rain_garden,-75.13954160,39.98639546,http://www.phillywatersheds.org/what_were_doing/,green_infrastructure/tools/rain_garden
793,Montgomery Ave and Shissler Parking Lot,Constructed,Delaware River Watershed,7,Stormwater Tree Trench,Stormwater Tree Trench,$,$,$,$,Infiltration Storage Trench,$,$,$,$,$,$,http://www.phillywatersheds.org/what_were_doing/green_infrastructure/tools/stormwater_tree_trench,-75.13211338,39.97687647,http://www.phillywatersheds.org/what_were_doing/,green_infrastructure/tools/stormwater_tree_trench
794,Mormon Temple,In Design,Schuylkill River Watershed,5,Stormwater Tree Trench,Stormwater Tree Trench,$,$,$,$,Infiltration Storage Trench,$,$,$,$,$,Other Project,http://www.phillywatersheds.org/what_were_doing/green_infrastructure/tools/stormwater_tree_trench,-75.16787800,39.95911100,http://www.phillywatersheds.org/what_were_doing/,green_infrastructure/tools/stormwater_tree_trench
795,Morris Leeds Middle School,In Design,Tookany-Tacony/Frankford Creek Watershed,9,Stormwater Tree Trench,Stormwater Tree Trench,$,$,$,$,$,$,$,$,$,$,$,http://www.phillywatersheds.org/what_were_doing/green_infrastructure/tools/stormwater_tree_trench,-75.17482999,40.07094009,http://www.phillywatersheds.org/what_were_doing/,green_infrastructure/tools/stormwater_tree_trench
796,Mother Mary of Peace School,In Design,Schuylkill River Watershed,2,Stormwater Tree Trench,Stormwater Tree Trench,$,$,$,$,$,$,$,$,$,$,$,http://www.phillywatersheds.org/what_were_doing/green_infrastructure/tools/stormwater_tree_trench,-75.22663400,39.92209400,http://www.phillywatersheds.org/what_were_doing/,green_infrastructure/tools/stormwater_tree_trench
797,Mt. Airy School of God in Christ,In Design,Tookany-Tacony/Frankford Creek Watershed,8,Stormwater Tree Trench,Stormwater Tree Trench,$,$,$,$,$,$,$,$,$,$,$,http://www.phillywatersheds.org/what_were_doing/green_infrastructure/tools/stormwater_tree_trench,-75.14916700,40.05223200,http://www.phillywatersheds.org/what_were_doing/,green_infrastructure/tools/stormwater_tree_trench
798,Muhammed Square,In Design,Schuylkill River Watershed,3,Stormwater Tree Trench,Stormwater Tree Trench,$,$,$,$,$,$,$,$,$,$,$,http://www.phillywatersheds.org/what_were_doing/green_infrastructure/tools/stormwater_tree_trench,-75.21670325,39.97125895,http://www.phillywatersheds.org/what_were_doing/,green_infrastructure/tools/stormwater_tree_trench
799,National Cemetery,In Design,Tookany-Tacony/Frankford Creek Watershed,9,Stormwater Tree Trench,Stormwater Tree Trench,$,$,$,$,$,$,$,$,$,$,$,http://www.phillywatersheds.org/what_were_doing/green_infrastructure/tools/stormwater_tree_trench,-75.15496700,40.05853400,http://www.phillywatersheds.org/what_were_doing/,green_infrastructure/tools/stormwater_tree_trench
800,Old Cathedral Cemetary,In Design,Schuylkill River Watershed,3,Stormwater Tree Trench,Stormwater Tree Trench,$,$,$,$,$,$,$,$,$,$,$,http://www.phillywatersheds.org/what_were_doing/green_infrastructure/tools/stormwater_tree_trench,-75.22082759,39.97122748,http://www.phillywatersheds.org/what_were_doing/,green_infrastructure/tools/stormwater_tree_trench
