37,3432 N 07TH ST,2-12,Franklinville,40.0041195,-75.1413142
38,1301 BEACH ST,2-5,Penn Treaty Park,39.9667728,-75.1291320
39,130-60 W WESTMORELAND ST,2-12,Calozza Park,40.0002542,-75.1300308
40,2326 N 05TH ST,2-5,Dauphin Street Play Lot,39.9868460,-75.1416940
41,3455 KENSINGTON AVE,2-12,Harrowgate Park,39.9999517,-75.1070347
42,1832-50 N HOWARD ST,2-12,Towey Playground,39.9782670,-75.1351330
43,500 WOLF ST,2-12,Mifflin Square,39.9199935,-75.1556071
44,3901 TERRACE ST,2-5,Wissahickon Neighbors Playground,40.0216220,-75.2131350
45,400-64 E ONTARIO ST,2-12,Mcveigh Park,40.0008234,-75.1225298
46,917 W BUTLER ST,2-5,Butler & Percy Play Lot,40.0100114,-75.1431760
47,1601-35 E WALNUT LA,2-12,Simons Park,40.0412930,-75.1780730
48,3201 RICHMOND ST,2-12,Monkiewicz Playground,39.9829676,-75.1014132
49,9050 TORRESDALE AVE,2-12,Jacobs Playground,40.0481612,-75.0033071
50,9050 TORRESDALE AVE,5-12,Trumbette Playground,40.0481612,-75.0033071
51,2901 N 29TH ST,2-12,James Allen Shuler Playground,40.0001380,-75.1778904
52,101-31 CARPENTER ST,5-12,Shot Tower Playground,39.9346680,-75.1457850
53,613 WHARTON ST,2-12,Gold Star Park,39.9326710,-75.1556452
54,5822-24 RIDGE AVE,2-12,Kendrick Park,40.0287386,-75.2104417
55,400 WASHINGTON AVE,2-12,Sacks Playground,39.9338940,-75.1517240
56,6201 TORRESDALE AVE,2-12,American Legion Playground,40.0333921,-75.0281150
57,1800 WALLACE ST,2-12,Clemente Playground,39.9657120,-75.1680960
58,5700 HAVERFORD AVE,2-12,Shepard Park,39.9679771,-75.2337555
59,213 REED ST,2-12,Herron Playground,39.9306950,-75.1487010
60,230-34 DICKINSON ST,2-12,Donnelly Park,39.9286704,-75.1452200
61,6000 N 05TH ST,2-12,Fisher Park,40.0425870,-75.1291809
62,641 LINDLEY AVE,2-12,Barrett Playground,40.0304010,-75.1358840
63,8601 WISSAHICKON AVE,2-12,Houston Playground,40.0670178,-75.2309023
64,1401-55 N 27TH ST,2-12,Athletic Playground,39.9771994,-75.1797578
65,4030-60 BROWN ST,2-12,Belmont School,39.9621515,-75.1376087
66,3255 N MARSTON ST,5-12,Etting Street Play Lot,40.0058360,-75.1742100
67,6300 SPRUCE ST,2-5,Cobbs Environmental Education Center,39.9572426,-75.2478909
68,3600 N 11TH ST,2-12,11th & Venango Play Lot,40.0073700,-75.1465630
69,2032-62 N 08TH ST,2-12,8th & Diamond Playground,39.9831030,-75.1474840
70,5601 BALTIMORE AVE,2-12,Sherwood Park,39.9466167,-75.2365830
71,5100 PINE ST,2-12,Malcolm X Memorial Park,39.9533050,-75.2243541
72,338-46 S 26TH ST,2-12,Markward Playground,39.9480560,-75.1833960
73,6250 FRONTENAC ST,2-12,Tarken Recreation Center,40.0395579,-75.0826756
74,5655 GRAYS AVE,2-12,Deritis Playground,39.9317270,-75.2203530
75,8300 FRANKFORD AVE,2-5,Frankford and Solly- Pennypack Creek Park,40.0436723,-75.0219214
76,2701 S BROAD ST,2-12,Marconi Plaza South,39.9168622,-75.1712435
77,2109 W CHEW AVE,2-12,Belfield Playground,40.0412887,-75.1563121
78,200 SNYDER AVE,2-12,Burke Playground,39.9215881,-75.1503773
79,2600 ARAMINGO AVE,2-12,Cione Playground,39.9812665,-75.1178239
80,100-70 E JOHNSON ST,2-12,Rumph Park,40.0472275,-75.1808353
81,3001 W LEHIGH AVE,2-12,29th & Chalmers Park,39.9973019,-75.1802872
82,209-99 E HARTWELL LA,2-12,Water Tower Recreation Center,40.0746007,-75.2012849
83,12 COBBS CREEK PKY,2-12,Cobbs Creek Recreation Center,39.9531716,-75.2487542
84,5153 E TABOR RD,2-12,Garland and Bingham- Tacony Creek Park,40.0331990,-75.1102490
85,5000 HERMIT LA,2-12,Daisy Fields,40.0246174,-75.2027331
86,7001 GERMANTOWN AVE,2-12,Mt Airy Playground,40.0582700,-75.1881790
87,2100 WAKELING ST,2-12,Carmella Playground,40.0110793,-75.0729628
88,1700 S BROAD ST,2-5,Di Silvestro Playground,39.9291562,-75.1691200
89,5901-29 W COLUMBIA AVE,2-12,Tustin Playground,39.9817632,-75.2409783
90,3500 S BROAD ST,2-12,FDR Park,39.9067353,-75.1738833
91,4300 SILVERWOOD ST,2-12,Manayunk Park,40.0260535,-75.2209031
92,1200 CARPENTER ST,2-12,Hawthorne Playground/Cultural Center,39.9384550,-75.1634940
93,440-42 PARKER AVE,2-12,Kelly Park,40.0351711,-75.2357654
94,4936-58 SPRUCE ST,5-12,Barkan Park,39.9538314,-75.2216377
95,2951 WELSH RD,2-12,McArdle Park,40.0588296,-75.0284099
96,1100 E CHELTEN AVE,2-12,Lonnie Young Park,40.0496837,-75.1601867
97,2500-34 N 03RD ST,2-12,Nelson Playground,39.9890766,-75.1382067
98,1400 COTTMAN AVE,2-12,Jardel Recreation Center,40.0558180,-75.0768420
99,6100 BALTIMORE AVE,2-5,61st & Baltimore Avenue Playground,39.9437968,-75.2458573
100,1927-41 W ONTARIO ST,2-12,Jerome Brown Playground,40.0057470,-75.1604287
101,5425 WISSAHICKON AVE,2-12,Cloverly Park,40.0246226,-75.1804500
102,1800 JOHNSTON ST,2-12,Barry Playground,39.9157920,-75.1789390
103,200-20 W 65TH AVE,2-12,Sturgis Playground,40.0496061,-75.1228274
104,3500 CRAWFORD ST,2-12,Mcdevitt Park,40.0101831,-75.1872292
105,155-59 W LEHIGH AVE,2-5,Maguire Playground,39.9909330,-75.1292640
106,122-24 S 45TH ST,2-5,45th & Sansom tot lot,39.9575936,-75.2112073
107,4423 LONGSHORE AVE,2-5,Disston Recreation Center,40.0286760,-75.0445699
108,201 FOUNTAIN ST,2-12,Hillside Park,40.0333430,-75.2296460
109,1800 WASHINGTON AVE,5-12,Chew Playground,39.9386293,-75.1731936
110,2150-72 E HUNTINGDON ST,2-12,Pop's Playground,39.9839311,-75.1230899
111,740 S 17TH ST,2-12,Marian Anderson Park,39.9420209,-75.1716520
112,3905 FORD RD,2-5,Ford Road North,39.9999897,-75.2078009
113,1149 W CAMBRIA ST,2-12,12th & Cambria Playground,39.9967700,-75.1498580
114,3001 ROBBINS ST,2-12,Lower Mayfair Playground,40.0293816,-75.0627439
115,1036-66 N FRONT ST,2-12,Tip Top Playground,39.9515640,-75.1417026
116,3001-15 JEFFERSON ST,5-12,30th & Jefferson Playground,39.9731452,-75.1346231
117,2538 WEBB ST,2-5,Webb Street Play Lot,39.9765870,-75.1181480
118,5826 MC MAHON AVE,2-12,Waterview Park,39.9523350,-75.1637890
119,6300 RIDGE AVE,2-12,Gorgas Park,40.0366614,-75.2187956
120,3369 RIDGE AVE,2-12,Strawberry Mansion play lot,39.9948240,-75.1869130
121,2901-19 S 63RD ST,5-12,Lindbergh Park,39.9620934,-75.2469694
122,1800-56 BLAIR ST,2-12,Shissler Recreation Center,39.9775009,-75.1320842
123,700-14 N 39TH ST,2-12,39th & Olive Playground,39.9569474,-75.1996237
124,4600 LEIPER ST,2-12,Overington Park,40.0161803,-75.0880340
125,1000-42 LOMBARD ST,2-12,Seger Playground,39.9435870,-75.1592740
126,1300 S 23RD ST,2-12,Wharton Square Playground,39.9355369,-75.1832120
127,3500 ACADEMY RD,2-12,Fitzpatrick Playground,40.0562910,-75.0089310
128,177-83 W PRICE ST,2-5,Price Street Play Lot,40.0331928,-75.1799784
129,3300 SOLLY AVE,2-12,Ramp Playground,40.0488839,-75.0242873
130,2201 S 16TH ST,2-12,Guerin Playground,39.9233349,-75.1731125
131,4600 MORRIS ST,2-12,Fernhill Park North,40.0215842,-75.1685810
132,1610 CHELTEN AVE,2-12,Morris Estate Park,40.0509951,-75.1456095
