54,McCreesh,8,6744 REGENT ST,19142,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=789,54.0817166,-6.4535842
55,Rivera,3,3201 N 05TH ST,19140,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=820,32.5151149,-116.9585641
56,Roosevelt,2,4301 LEVICK ST,19135,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=822,3.4236100,-76.5413600
57,Cherashore,3,851 W OLNEY AVE,19141,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=720,40.0371560,-75.1366190
58,Granahan,8,338-50 N 65TH ST,19139,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=753,39.9693308,-75.2501504
59,West Mill Creek,8,5100 WESTMINSTER AVE,19139,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=850,39.9674814,-75.2232930
60,M.L. King,6,2101-35 CECIL B MOORE AVE,19121,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=772,-36.6406326,-64.2746506
61,Lonnie Young,4,1100 E CHELTEN AVE,19138,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=856,40.0496411,-75.1603509
62,Carousel House,5,1701 BELMONT AVE,19131,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=717,39.9792377,-75.2128343
63,Fitzpatrick,1,3500 ACADEMY RD,19154,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=742,45.4433079,-74.7410014
64,Waterview,4,5826 MC MAHON AVE,19144,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=849,40.0969603,-74.9862718
65,Cohocksink,2,2901 CEDAR ST,19134,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=726,39.9863531,-75.1019942
